약물구분,ATC코드,ATC코드명,시도명칭,시군구명칭,기간_dt,연도,월,수량,금액,처방량_per_capita,금액_per_capita,총거주자수,세대수,세대당인구,남여비율,고령인구비율,남자인구수,여자인구수,고령인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세이상
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서대문구,2024-07-01,2024,7,3275421,1298567410,10.974625905499675,4350.98008403305,298454.0,144710.0,2.06,0.9,0.27642115702922393,141064.0,157390.0,82499,15328,21674,45253,44600,41916,47184,41257,25267,13876,2046,53
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,서초구,2024-07-01,2024,7,2385667,1005428926,5.83211386188233,2457.9188866099344,409057.0,170526.0,2.4,0.9,0.23246393534397405,194302.0,214755.0,95091,26333,45273,48012,57163,70376,66809,47713,31821,13392,2108,57
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성동구,2024-07-01,2024,7,1412822,524996577,5.187618645468064,1927.6894270135306,272345.0,131667.0,2.07,0.93,0.2653472617452129,131490.0,140855.0,72266,15629,17206,38073,47622,39215,42334,37942,21921,10840,1531,32
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,성북구,2024-07-01,2024,7,2409981,937383597,5.724026135966881,2226.411000192386,421029.0,197352.0,2.13,0.91,0.2757387258359875,201153.0,219876.0,116094,21617,33920,62895,56661,59644,70198,58180,36617,18565,2668,64
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,송파구,2024-07-01,2024,7,4255636,1620998181,6.640932931139682,2529.5725953818473,640819.0,283767.0,2.26,0.92,0.25197442647611884,306837.0,333982.0,161470,39529,56717,76975,105509,103088,97531,86947,52395,18928,3120,80
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,양천구,2024-07-01,2024,7,1752806,639988700,4.135166250666465,1509.8417469177452,423878.0,178221.0,2.38,0.95,0.2713233524740609,206231.0,217647.0,115008,22775,46228,47271,51721,69110,71765,61877,36954,13965,2148,64
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,영등포구,2024-07-01,2024,7,1336990,494046016,3.6230042164822183,1338.7765047638661,369028.0,190457.0,1.94,0.95,0.25784764299727936,180023.0,189005.0,95153,19869,22281,53188,73565,51720,53252,48412,30272,14285,2133,51
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,용산구,2024-07-01,2024,7,560012,203999811,2.8079644198418547,1022.8784578588727,199437.0,101046.0,1.97,0.91,0.2690222977682175,94965.0,104472.0,53653,9888,12541,26638,36973,28522,31222,27707,15808,8562,1529,47
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,은평구,2024-07-01,2024,7,1914932,697885745,4.219073533461856,1537.6166235196915,453875.0,212883.0,2.13,0.9,0.299245386945745,214600.0,239275.0,135820,20636,33697,56491,66414,64699,76118,68406,43326,21158,2871,59
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,종로구,2024-07-01,2024,7,3749871,1498025932,27.615018668394814,11031.849916415667,135791.0,71209.0,1.91,0.92,0.3010582439189637,65063.0,70728.0,40881,5147,9236,20293,19698,18058,22478,20566,12287,6830,1166,32
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,중구,2024-07-01,2024,7,802856,300972914,6.866301196473013,2574.024083402465,116927.0,63064.0,1.85,0.92,0.3046345155524387,56082.0,60845.0,35620,4999,5788,15839,21102,15962,17617,17643,11223,5761,975,18
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,중랑구,2024-07-01,2024,7,1452518,516923967,3.871254724071577,1377.7070915710303,375206.0,187571.0,2.0,0.95,0.3191127007563845,183154.0,192052.0,119733,16780,23077,45174,58305,50650,61487,63691,37437,16324,2225,56
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강남구,2024-06-01,2024,6,3438008,1544421588,6.2585021134683085,2811.443653587799,549334.0,240425.0,2.28,0.91,0.22700943324097908,262391.0,286943.0,124704,32017,63995,63327,79940,98637,86714,62291,42884,16821,2628,80
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강동구,2024-06-01,2024,6,1455352,546611687,2.931098583947104,1100.8833201415448,496521.0,220462.0,2.25,0.95,0.2667661589338618,241916.0,254605.0,132455,32254,43469,55993,77150,80619,74581,71738,43123,15135,2392,67
A10B,A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS",서울,강북구,2024-06-01,2024,6,1302504,483522227,4.692963998501138,1742.1462074481883,277544.0,140794.0,1.97,0.93,0.3499769405932032,133409.0,144135.0,97134,9682,17899,34511,34089,36121,48108,47186,31860,16112,1939,37
