약물,구,MAPE_xgb,MAE_xgb,평균_실제
A10A,강남구,8.628541717834711,3215.7318333333333,37825.833333333336
A10A,강동구,10.206672140644656,2232.9165,21912.5
A10A,강북구,42.962136762481144,1693.2867833333337,3909.0
A10A,강서구,10.77136116625233,1556.5609999999997,14371.666666666666
A10A,관악구,58.911163321563095,2859.6231000000002,4743.666666666667
A10A,광진구,18.231848262626695,2533.4401666666668,14006.833333333334
A10A,구로구,17.914141920633856,2958.4053333333336,17109.666666666668
A10A,금천구,169.94544995074762,3912.7652,2292.1666666666665
A10A,노원구,20.439055653124814,4728.769833333334,23212.5
A10A,도봉구,23.449786220811138,1451.6536833333332,6355.0
A10A,동대문구,13.688138636219804,2231.378666666666,16341.333333333334
A10A,동작구,13.814502686340846,2202.9026666666664,16469.333333333332
A10A,마포구,152.21396759847775,5074.952433333333,3323.8333333333335
A10A,서대문구,11.810601230041888,3132.039833333334,26464.666666666668
A10A,서초구,8.881244491673684,1362.1490000000001,15572.166666666666
A10A,성동구,108.45260814836979,6073.049766666666,5708.5
A10A,성북구,22.492506550546118,2535.9655000000002,11377.166666666666
A10A,송파구,8.616824425021873,2753.3348333333324,32429.5
A10A,양천구,29.543727274584985,2673.3864166666663,9256.333333333334
A10A,영등포구,18.52455307348425,2645.2615000000005,14727.333333333334
A10A,용산구,61.424986995063854,3025.8903833333334,4953.833333333333
A10A,은평구,22.16892683706245,1960.5448333333331,9121.833333333334
A10A,종로구,14.672036851347404,5225.1375,36603.666666666664
A10A,중구,76.33026683009476,2376.7999333333332,3174.3333333333335
A10A,중랑구,17.109717037207584,1354.2326,7949.166666666667
A10B,강남구,3.849363922949917,157287.6333333333,3889249.5
A10B,강동구,7.62681552755419,306561.0333333332,3848317.0
A10B,강북구,4.549903800347261,66142.48333333328,1445221.8333333333
A10B,강서구,9.25590097090812,250444.3833333333,2705642.1666666665
A10B,관악구,11.01660031768021,178308.41666666666,1658754.8333333333
A10B,광진구,5.110640892553006,102942.35000000005,2006339.3333333333
A10B,구로구,10.470772542214583,266863.7333333334,2556766.6666666665
A10B,금천구,5.499411326952467,56134.84333333336,1014499.3333333334
A10B,노원구,9.52142816222447,271649.1166666667,2876690.0
A10B,도봉구,8.276312234019555,129874.06666666665,1564033.0
A10B,동대문구,12.435185096242675,323898.91666666657,2594192.0
A10B,동작구,15.882675819891181,394013.8166666667,2434645.0
A10B,마포구,9.831213103868757,123014.88333333335,1247352.0
A10B,서대문구,7.427572519801212,228976.81666666674,3093108.1666666665
A10B,서초구,9.848231802368918,231860.5166666666,2349189.1666666665
A10B,성동구,6.478674280867382,89892.75,1395484.5
A10B,성북구,3.568981468556038,81049.54999999997,2260875.8333333335
A10B,송파구,5.561628640909333,242019.79999999996,4132657.3333333335
A10B,양천구,6.27210323133663,125670.64999999998,2031052.8333333333
A10B,영등포구,10.340648126458337,283858.38333333324,2716463.6666666665
A10B,용산구,13.865667085242727,127725.00333333336,907371.5
A10B,은평구,10.652063626228259,273317.75,2561787.0
A10B,종로구,6.477441095660474,237045.6166666667,3581529.0
A10B,중구,11.101133286516426,108532.94166666665,998219.6666666666
A10B,중랑구,5.332030789140312,103987.0,1969135.6666666667
