모델,MAE,RMSE,MAPE
Linear Regression,107020.93021063675,159185.61227591807,194.3928866571006
XGBoost,96656.85212931315,175124.81079897683,23.42914338719628
LightGBM,100252.8554891345,176078.91567731232,37.47366692948624
